accuracy,fold,dataset,seed
0.8654048370136698,0.0,3954,50
0.8743427970557308,1.0,3954,50
0.8680336487907466,2.0,3954,50
0.8753943217665615,3.0,3954,50
0.8633017875920084,4.0,3954,50
0.8748685594111462,5.0,3954,50
0.8706624605678234,6.0,3954,50
0.8711882229232387,7.0,3954,50
0.8785488958990536,8.0,3954,50
0.8743427970557308,9.0,3954,50
0.8732912723449001,0.0,3954,60
0.8743427970557308,1.0,3954,60
0.8664563617245006,2.0,3954,60
0.8753943217665615,3.0,3954,60
0.8669821240799159,4.0,3954,60
0.8769716088328076,5.0,3954,60
0.8722397476340694,6.0,3954,60
0.8706624605678234,7.0,3954,60
0.880651945320715,8.0,3954,60
0.8738170347003155,9.0,3954,60
0.8764458464773922,0.0,3954,20
0.8738170347003155,1.0,3954,20
0.8748685594111462,2.0,3954,20
0.8827549947423764,3.0,3954,20
0.8696109358569927,4.0,3954,20
0.8769716088328076,5.0,3954,20
0.8622502628811777,6.0,3954,20
0.8785488958990536,7.0,3954,20
0.8769716088328076,8.0,3954,20
0.8643533123028391,9.0,3954,20
0.8696109358569927,0.0,3954,80
0.8738170347003155,1.0,3954,80
0.8696109358569927,2.0,3954,80
0.8727655099894848,3.0,3954,80
0.8711882229232387,4.0,3954,80
0.8780231335436383,5.0,3954,80
0.8675078864353313,6.0,3954,80
0.8722397476340694,7.0,3954,80
0.8764458464773922,8.0,3954,80
0.8669821240799159,9.0,3954,80
0.8675078864353313,0.0,3954,10
0.8785488958990536,1.0,3954,10
0.8717139852786541,2.0,3954,10
0.882229232386961,3.0,3954,10
0.8717139852786541,4.0,3954,10
0.8748685594111462,5.0,3954,10
0.8732912723449001,6.0,3954,10
0.8753943217665615,7.0,3954,10
0.8832807570977917,8.0,3954,10
0.8696109358569927,9.0,3954,10
0.870136698212408,0.0,3954,100
0.8785488958990536,1.0,3954,100
0.8638275499474237,2.0,3954,100
0.8801261829652997,3.0,3954,100
0.8696109358569927,4.0,3954,100
0.8764458464773922,5.0,3954,100
0.8669821240799159,6.0,3954,100
0.8643533123028391,7.0,3954,100
0.8811777076761304,8.0,3954,100
