accuracy,fold,fixed_param,fixed_value,dataset
0.8643533123028391,0.0,min_samples_leaf,9,3954
0.8680336487907466,1.0,min_samples_leaf,9,3954
0.8748685594111462,2.0,min_samples_leaf,9,3954
0.8785488958990536,3.0,min_samples_leaf,9,3954
0.8643533123028391,4.0,min_samples_leaf,9,3954
0.8717139852786541,5.0,min_samples_leaf,9,3954
0.8622502628811777,6.0,min_samples_leaf,9,3954
0.8643533123028391,7.0,min_samples_leaf,9,3954
0.8769716088328076,8.0,min_samples_leaf,9,3954
0.8690851735015773,9.0,min_samples_leaf,9,3954
0.78,0.0,min_samples_leaf,9,125921
0.8,1.0,min_samples_leaf,9,125921
0.68,2.0,min_samples_leaf,9,125921
0.7,3.0,min_samples_leaf,9,125921
0.82,4.0,min_samples_leaf,9,125921
0.72,5.0,min_samples_leaf,9,125921
0.7,6.0,min_samples_leaf,9,125921
0.7,7.0,min_samples_leaf,9,125921
0.62,8.0,min_samples_leaf,9,125921
0.78,9.0,min_samples_leaf,9,125921
0.8612077789150461,0.0,min_samples_leaf,9,7592
0.8630501535312181,1.0,min_samples_leaf,9,7592
0.8626126126126126,2.0,min_samples_leaf,9,7592
0.8611793611793612,3.0,min_samples_leaf,9,7592
0.8660933660933661,4.0,min_samples_leaf,9,7592
0.8638411138411138,5.0,min_samples_leaf,9,7592
0.8593366093366094,6.0,min_samples_leaf,9,7592
0.8626126126126126,7.0,min_samples_leaf,9,7592
0.8665028665028665,8.0,min_samples_leaf,9,7592
0.8662981162981163,9.0,min_samples_leaf,9,7592
0.9863636363636363,0.0,min_samples_leaf,9,32
0.9772727272727273,1.0,min_samples_leaf,9,32
0.9854413102820746,2.0,min_samples_leaf,9,32
0.9818016378525932,3.0,min_samples_leaf,9,32
0.9881710646041856,4.0,min_samples_leaf,9,32
0.9899909008189263,5.0,min_samples_leaf,9,32
0.9872611464968153,6.0,min_samples_leaf,9,32
0.986351228389445,7.0,min_samples_leaf,9,32
0.9854413102820746,8.0,min_samples_leaf,9,32
0.9772520473157416,9.0,min_samples_leaf,9,32
0.2125,0.0,min_samples_leaf,9,3560
0.2125,1.0,min_samples_leaf,9,3560
0.225,2.0,min_samples_leaf,9,3560
0.1875,3.0,min_samples_leaf,9,3560
0.15,4.0,min_samples_leaf,9,3560
0.175,5.0,min_samples_leaf,9,3560
0.2125,6.0,min_samples_leaf,9,3560
0.11392405063291139,7.0,min_samples_leaf,9,3560
0.26582278481012656,8.0,min_samples_leaf,9,3560
0.25316455696202533,9.0,min_samples_leaf,9,3560
0.98,0.0,min_samples_leaf,9,3567
0.98,1.0,min_samples_leaf,9,3567
0.98,2.0,min_samples_leaf,9,3567
1.0,3.0,min_samples_leaf,9,3567
1.0,4.0,min_samples_leaf,9,3567
1.0,5.0,min_samples_leaf,9,3567
1.0,6.0,min_samples_leaf,9,3567
0.98,7.0,min_samples_leaf,9,3567
0.98,8.0,min_samples_leaf,9,3567
0.98,9.0,min_samples_leaf,9,3567
0.6486486486486487,0.0,min_samples_leaf,9,2079
0.7432432432432432,1.0,min_samples_leaf,9,2079
0.581081081081081,2.0,min_samples_leaf,9,2079
0.6621621621621622,3.0,min_samples_leaf,9,2079
0.7027027027027027,4.0,min_samples_leaf,9,2079
0.581081081081081,5.0,min_samples_leaf,9,2079
0.589041095890411,6.0,min_samples_leaf,9,2079
0.6438356164383562,7.0,min_samples_leaf,9,2079
0.6438356164383562,8.0,min_samples_leaf,9,2079
0.6986301369863014,9.0,min_samples_leaf,9,2079
0.834,0.0,min_samples_leaf,9,58
0.82,1.0,min_samples_leaf,9,58
0.854,2.0,min_samples_leaf,9,58
0.848,3.0,min_samples_leaf,9,58
0.83,4.0,min_samples_leaf,9,58
0.822,5.0,min_samples_leaf,9,58
0.832,6.0,min_samples_leaf,9,58
0.832,7.0,min_samples_leaf,9,58
0.812,8.0,min_samples_leaf,9,58
0.808,9.0,min_samples_leaf,9,58
0.56,0.0,min_samples_leaf,9,125920
0.66,1.0,min_samples_leaf,9,125920
0.52,2.0,min_samples_leaf,9,125920
0.5,3.0,min_samples_leaf,9,125920
0.62,4.0,min_samples_leaf,9,125920
0.58,5.0,min_samples_leaf,9,125920
0.62,6.0,min_samples_leaf,9,125920
