,learning_rate,max_depth,n_estimators
3.0,1.134642753589705,10.0,347.0
6.0,1.134642753589705,10.0,347.0
11.0,1.134642753589705,10.0,347.0
12.0,1.134642753589705,10.0,347.0
14.0,1.134642753589705,10.0,347.0
15.0,1.134642753589705,10.0,347.0
16.0,1.134642753589705,10.0,347.0
18.0,1.134642753589705,10.0,347.0
20.0,1.134642753589705,10.0,347.0
21.0,1.134642753589705,10.0,347.0
22.0,1.134642753589705,10.0,347.0
23.0,1.134642753589705,10.0,347.0
24.0,1.134642753589705,10.0,347.0
28.0,1.134642753589705,10.0,347.0
29.0,1.134642753589705,10.0,347.0
31.0,1.134642753589705,10.0,347.0
32.0,1.134642753589705,10.0,347.0
36.0,1.134642753589705,10.0,347.0
37.0,1.134642753589705,10.0,347.0
41.0,1.134642753589705,10.0,347.0
43.0,1.134642753589705,10.0,347.0
45.0,1.134642753589705,10.0,347.0
49.0,1.134642753589705,10.0,347.0
53.0,1.134642753589705,10.0,347.0
58.0,1.134642753589705,10.0,347.0
219.0,1.134642753589705,10.0,347.0
2074.0,1.134642753589705,10.0,347.0
2079.0,1.134642753589705,10.0,347.0
3021.0,1.134642753589705,10.0,347.0
3022.0,1.134642753589705,10.0,347.0
3481.0,1.134642753589705,10.0,347.0
3485.0,1.134642753589705,10.0,347.0
3492.0,1.134642753589705,10.0,347.0
3493.0,1.134642753589705,10.0,347.0
3494.0,1.134642753589705,10.0,347.0
3510.0,1.134642753589705,10.0,347.0
3512.0,1.134642753589705,10.0,347.0
3543.0,1.134642753589705,10.0,347.0
3549.0,1.084541853446693,10.0,347.0
3560.0,1.134642753589705,10.0,347.0
3561.0,1.134642753589705,10.0,347.0
3567.0,1.134642753589705,10.0,347.0
3573.0,1.134642753589705,10.0,347.0
3889.0,1.134642753589705,10.0,347.0
3891.0,1.134642753589705,10.0,347.0
3896.0,1.134642753589705,10.0,347.0
3899.0,1.134642753589705,10.0,347.0
3902.0,1.134642753589705,10.0,347.0
3903.0,1.134642753589705,10.0,347.0
3904.0,1.134642753589705,10.0,347.0
3913.0,1.134642753589705,10.0,347.0
3917.0,1.134642753589705,10.0,347.0
3918.0,1.134642753589705,10.0,347.0
3946.0,1.134642753589705,10.0,347.0
3948.0,1.134642753589705,10.0,347.0
3954.0,1.134642753589705,10.0,347.0
7592.0,1.134642753589705,10.0,347.0
9914.0,1.134642753589705,10.0,347.0
9946.0,1.134642753589705,10.0,347.0
9950.0,1.134642753589705,10.0,347.0
9952.0,1.134642753589705,10.0,347.0
9954.0,1.134642753589705,10.0,347.0
9955.0,1.134642753589705,10.0,347.0
9956.0,1.134642753589705,10.0,347.0
9957.0,1.134642753589705,10.0,347.0
9960.0,1.134642753589705,10.0,347.0
9964.0,1.134642753589705,10.0,347.0
9967.0,1.134642753589705,10.0,347.0
9968.0,1.134642753589705,10.0,347.0
9970.0,1.134642753589705,10.0,347.0
9971.0,1.134642753589705,10.0,347.0
9976.0,1.134642753589705,10.0,347.0
9977.0,1.134642753589705,10.0,347.0
9978.0,1.134642753589705,10.0,347.0
9979.0,1.134642753589705,10.0,347.0
9980.0,1.134642753589705,10.0,347.0
9981.0,1.1361089720925885,10.0,347.0
9983.0,1.134642753589705,10.0,347.0
9985.0,1.134642753589705,10.0,347.0
9986.0,1.134642753589705,10.0,347.0
10093.0,1.134642753589705,10.0,347.0
10101.0,1.134642753589705,10.0,347.0
14964.0,1.134642753589705,10.0,347.0
14965.0,1.134642753589705,10.0,347.0
14966.0,1.134642753589705,10.0,347.0
14967.0,1.134642753589705,10.0,347.0
14968.0,1.134642753589705,10.0,347.0
14969.0,1.134642753589705,10.0,347.0
14970.0,1.134642753589705,10.0,347.0
34536.0,1.134642753589705,10.0,347.0
34537.0,1.134642753589705,10.0,347.0
34538.0,1.134642753589705,10.0,347.0
34539.0,1.134642753589705,10.0,347.0
125920.0,1.134642753589705,10.0,347.0
125921.0,1.134642753589705,10.0,347.0
125922.0,1.134642753589705,10.0,347.0
125923.0,1.134642753589705,10.0,347.0
146195.0,1.134642753589705,10.0,347.0
146606.0,1.134642753589705,10.0,347.0
146607.0,1.134642753589705,10.0,347.0
